"beta","factor","rc.1","rc.2","rc.3","rc.4","rb.1","rb.2","rb.3","rb.4","rb.5"
0.592945226130653,6.98570090235318,-1.81508389030016,-0.259061637976081,-0.0351205216597183,-0.0017380026763763,-11.7305864518496,-0.775971903216157,-0.121170234259959,-0.0125854561130675,-0.000243430869161136
0.601738693467337,7.25488119551421,-1.80219036266265,-0.257847014266011,-0.0349590634445299,-0.00172550158938358,-12.0593919860551,-0.784840745180941,-0.12268642971551,-0.01283089429433,-0.000253054058693163
0.61053216080402,7.5384057205191,-1.78944667173867,-0.256640393598675,-0.0347983896854465,-0.0017130368939904,-12.403550183296,-0.793822062025268,-0.124218094830666,-0.013079988495094,-0.000263000862816496
0.619325628140704,7.83732295485878,-1.77685028921704,-0.255441695213167,-0.0346384934571311,-0.00170060836091912,-12.7641319499165,-0.802917758742055,-0.125765372937411,-0.0133327747777393,-0.00027328045775905
0.628119095477387,8.1527821828079,-1.76439873981404,-0.254250838844469,-0.034479367761435,-0.00168821577633936,-13.1423096171454,-0.812129783146256,-0.127328408758983,-0.0135892893118235,-0.000283902189547029
0.63691256281407,8.48604576501047,-1.75208960136471,-0.253067744933707,-0.0343210055565147,-0.00167585894202775,-13.5393692383605,-0.821460127828157,-0.12890734853455,-0.0138495683838271,-0.000294875570931823
0.645706030150754,8.83850323014414,-1.73992050231938,-0.251892334462078,-0.0341633997354096,-0.00166353767450925,-13.956724697723,-0.830910830966838,-0.130502339963061,-0.0141136483845076,-0.000306210281570228
0.654499497487437,9.21168752515728,-1.727889120683,-0.250724528979624,-0.0340065431304118,-0.00165125180430703,-14.395933984359,-0.840483977812071,-0.132113532239506,-0.0143815658089781,-0.000317916164872937
0.663292964824121,9.6072938143921,-1.71599318281553,-0.24956425060144,-0.0338504285122536,-0.001639001175605,-14.8587180157961,-0.850181702129598,-0.133741076076745,-0.0146533572499819,-0.000330003229053972
0.672086432160804,10.0272013051074,-1.70423046198683,-0.248411421982318,-0.0336950485887103,-0.00162678564516959,-15.3469824870717,-0.860006187584959,-0.135385123718027,-0.0149290593958393,-0.000342481643664441
0.680879899497487,10.473498686419,-1.6925987773658,-0.247265966337924,-0.033540396007881,-0.00161460508223416,-15.8628433363796,-0.86995966935927,-0.137045828974192,-0.0152087090279186,-0.000355361738288553
0.689673366834171,10.9485138929101,-1.68109599210243,-0.246127807316555,-0.0333864633411377,-0.00160245936664454,-16.4086565317481,-0.880044435327273,-0.138723347176735,-0.0154923430094289,-0.000368654000252409
0.698466834170854,11.4548490865783,-1.66972001309198,-0.244996869140484,-0.0332332431046269,-0.00159034838899671,-16.987053085107,-0.890262828162408,-0.140417835283792,-0.0157799982896713,-0.000382369073942635
0.707260301507538,11.9954219409901,-1.65846878917023,-0.243873076483221,-0.0330807277422678,-0.00157827204931981,-17.600980361985,-0.900617246650082,-0.142129451836182,-0.0160717118945981,-0.000396517756872595
0.716053768844221,12.5735146045369,-1.64734031020911,-0.242756354494141,-0.0329289096313218,-0.00156623025626092,-18.2537510755901,-0.911110147527192,-0.14385835699861,-0.0163675209250353,-0.000411110997472078
0.724847236180905,13.1928320574942,-1.63633260622313,-0.241646628807561,-0.0327777810841313,-0.00155422292610614,-18.9491016761352,-0.921744047373292,-0.145604712591275,-0.0166674625526656,-0.000426159893314791
0.733640703517588,13.8575720307289,-1.62544374603256,-0.240543825494611,-0.0326273343438622,-0.00154224998175914,-19.6912623003305,-0.932521524319614,-0.147368682090499,-0.0169715740146714,-0.000441675687923482
